date,tradePrice,change,changePrice,accTradeVolume,accTradePrice,individualStraightPurchasePrice,foreignStraightPurchasePrice,institutionStraightPurchasePrice
2019-04-02 00:00:00,2177.18,RISE,8.9,257453,4247457,-103600430646,273406478933,-150581917969
2019-04-01 00:00:00,2168.28,RISE,27.61,263312,4365111,-438066169858,249088851263,184589671919
2019-03-29 00:00:00,2140.67,RISE,12.57,364618,5248941,-156006725386,89041649012,59696632751
2019-03-28 00:00:00,2128.1,FALL,17.52,288036,4403905,83696655492,-13904251094,-83176888246
2019-03-27 00:00:00,2145.62,FALL,3.18,363169,4490155,19189157579,-156137630355,120182884108
2019-03-26 00:00:00,2148.8,RISE,3.94,301253,4248900,155665665386,37396934512,-191513709988
2019-03-25 00:00:00,2144.86,FALL,42.09,307071,4136472,269204398460,-70853127031,-219094912901
2019-03-22 00:00:00,2186.95,RISE,2.07,333617,6881722,47138478352,501319850079,-561768759655
2019-03-21 00:00:00,2184.88,RISE,7.78,342747,6229925,-326383527941,484065339759,-151526567122
2019-03-20 00:00:00,2177.1,FALL,0.52,317606,4175741,85576985458,-123654088780,38732175899
2019-03-19 00:00:00,2177.62,FALL,1.87,319702,3867859,36930310648,-12413032485,-15797411779
2019-03-18 00:00:00,2179.49,RISE,3.38,257951,4093226,-186777269431,-48787769406,228677329333
2019-03-15 00:00:00,2176.11,RISE,20.43,387135,6821323,-496308808713,-134219016142,628388384084
2019-03-14 00:00:00,2155.68,RISE,7.27,341009,5882524,141640536139,286699994288,-434371391530
2019-03-13 00:00:00,2148.41,FALL,8.77,285600,4088450,95657129720,100064556811,-203107947266
2019-03-12 00:00:00,2157.18,RISE,19.08,355282,4222805,-22480661728,-2304218047,82392482069
2019-03-11 00:00:00,2138.1,RISE,0.66,272103,4077476,89359044451,-179309876147,16639730580
2019-03-08 00:00:00,2137.44,FALL,28.35,313314,4497331,293213295508,-173863396395,-127447461480
2019-03-07 00:00:00,2165.79,FALL,9.81,292578,4858918,110774668511,397749809,-112972757189
